[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 8.009653 seconds
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.742703 seconds.
[LightGBM] [Info] 11.928951 seconds elapsed, finished iteration 41
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:42, valid_1 ndcg@1 : 0.718575
[LightGBM] [Info] Iteration:42, valid_1 ndcg@3 : 0.720722
[LightGBM] [Info] Iteration:42, valid_1 ndcg@5 : 0.739118
[LightGBM] [Info] Iteration:42, valid_1 ndcg@10 : 0.782363
[LightGBM] [Info] 12.182037 seconds elapsed, finished iteration 42
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:43, valid_1 ndcg@1 : 0.718342
[LightGBM] [Info] Iteration:43, valid_1 ndcg@3 : 0.721185
[LightGBM] [Info] Iteration:43, valid_1 ndcg@5 : 0.739122
[LightGBM] [Info] Iteration:43, valid_1 ndcg@10 : 0.782458
[LightGBM] [Info] 12.430051 seconds elapsed, finished iteration 43
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:44, valid_1 ndcg@1 : 0.718725
[LightGBM] [Info] Iteration:44, valid_1 ndcg@3 : 0.721442
[LightGBM] [Info] Iteration:44, valid_1 ndcg@5 : 0.739038
[LightGBM] [Info] Iteration:44, valid_1 ndcg@10 : 0.782763
[LightGBM] [Info] 12.669567 seconds elapsed, finished iteration 44
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:45, valid_1 ndcg@1 : 0.720202
[LightGBM] [Info] Iteration:45, valid_1 ndcg@3 : 0.72235
[LightGBM] [Info] Iteration:45, valid_1 ndcg@5 : 0.739963
[LightGBM] [Info] Iteration:45, valid_1 ndcg@10 : 0.783034
[LightGBM] [Info] 12.923735 seconds elapsed, finished iteration 45
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:46, valid_1 ndcg@1 : 0.719895
[LightGBM] [Info] Iteration:46, valid_1 ndcg@3 : 0.722524
[LightGBM] [Info] Iteration:46, valid_1 ndcg@5 : 0.739431
[LightGBM] [Info] Iteration:46, valid_1 ndcg@10 : 0.782914
[LightGBM] [Info] 13.162030 seconds elapsed, finished iteration 46
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:47, valid_1 ndcg@1 : 0.719505
[LightGBM] [Info] Iteration:47, valid_1 ndcg@3 : 0.722368
[LightGBM] [Info] Iteration:47, valid_1 ndcg@5 : 0.739659
[LightGBM] [Info] Iteration:47, valid_1 ndcg@10 : 0.783325
[LightGBM] [Info] 13.422941 seconds elapsed, finished iteration 47
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:48, valid_1 ndcg@1 : 0.719352
[LightGBM] [Info] Iteration:48, valid_1 ndcg@3 : 0.722065
[LightGBM] [Info] Iteration:48, valid_1 ndcg@5 : 0.739849
[LightGBM] [Info] Iteration:48, valid_1 ndcg@10 : 0.783136
[LightGBM] [Info] 13.659914 seconds elapsed, finished iteration 48
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:49, valid_1 ndcg@1 : 0.720111
[LightGBM] [Info] Iteration:49, valid_1 ndcg@3 : 0.722724
[LightGBM] [Info] Iteration:49, valid_1 ndcg@5 : 0.740485
[LightGBM] [Info] Iteration:49, valid_1 ndcg@10 : 0.783365
[LightGBM] [Info] 13.927316 seconds elapsed, finished iteration 49
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:50, valid_1 ndcg@1 : 0.719258
[LightGBM] [Info] Iteration:50, valid_1 ndcg@3 : 0.72282
[LightGBM] [Info] Iteration:50, valid_1 ndcg@5 : 0.740406
[LightGBM] [Info] Iteration:50, valid_1 ndcg@10 : 0.783761
[LightGBM] [Info] 14.201962 seconds elapsed, finished iteration 50
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:51, valid_1 ndcg@1 : 0.719591
[LightGBM] [Info] Iteration:51, valid_1 ndcg@3 : 0.722861
[LightGBM] [Info] Iteration:51, valid_1 ndcg@5 : 0.74044
[LightGBM] [Info] Iteration:51, valid_1 ndcg@10 : 0.784083
[LightGBM] [Info] 14.448574 seconds elapsed, finished iteration 51
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:52, valid_1 ndcg@1 : 0.718574
[LightGBM] [Info] Iteration:52, valid_1 ndcg@3 : 0.722358
[LightGBM] [Info] Iteration:52, valid_1 ndcg@5 : 0.7399
[LightGBM] [Info] Iteration:52, valid_1 ndcg@10 : 0.784108
[LightGBM] [Info] 14.692773 seconds elapsed, finished iteration 52
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:53, valid_1 ndcg@1 : 0.717939
[LightGBM] [Info] Iteration:53, valid_1 ndcg@3 : 0.722826
[LightGBM] [Info] Iteration:53, valid_1 ndcg@5 : 0.739983
[LightGBM] [Info] Iteration:53, valid_1 ndcg@10 : 0.784052
[LightGBM] [Info] 14.944944 seconds elapsed, finished iteration 53
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:54, valid_1 ndcg@1 : 0.719294
[LightGBM] [Info] Iteration:54, valid_1 ndcg@3 : 0.723105
[LightGBM] [Info] Iteration:54, valid_1 ndcg@5 : 0.740799
[LightGBM] [Info] Iteration:54, valid_1 ndcg@10 : 0.784467
[LightGBM] [Info] 15.207104 seconds elapsed, finished iteration 54
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:55, valid_1 ndcg@1 : 0.718478
[LightGBM] [Info] Iteration:55, valid_1 ndcg@3 : 0.722667
[LightGBM] [Info] Iteration:55, valid_1 ndcg@5 : 0.740884
[LightGBM] [Info] Iteration:55, valid_1 ndcg@10 : 0.784204
[LightGBM] [Info] 15.452888 seconds elapsed, finished iteration 55
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:56, valid_1 ndcg@1 : 0.718387
[LightGBM] [Info] Iteration:56, valid_1 ndcg@3 : 0.723057
[LightGBM] [Info] Iteration:56, valid_1 ndcg@5 : 0.74101
[LightGBM] [Info] Iteration:56, valid_1 ndcg@10 : 0.784393
