[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 10.135371 seconds
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.327163 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Iteration:60, valid_1 ndcg@1 : 0.508325
[LightGBM] [Info] Iteration:60, valid_1 ndcg@3 : 0.491718
[LightGBM] [Info] Iteration:60, valid_1 ndcg@5 : 0.495237
[LightGBM] [Info] Iteration:60, valid_1 ndcg@10 : 0.514172
[LightGBM] [Info] 24.021281 seconds elapsed, finished iteration 60
[LightGBM] [Info] Iteration:61, valid_1 ndcg@1 : 0.507778
[LightGBM] [Info] Iteration:61, valid_1 ndcg@3 : 0.491137
[LightGBM] [Info] Iteration:61, valid_1 ndcg@5 : 0.4955
[LightGBM] [Info] Iteration:61, valid_1 ndcg@10 : 0.514054
[LightGBM] [Info] 24.429352 seconds elapsed, finished iteration 61
[LightGBM] [Info] Iteration:62, valid_1 ndcg@1 : 0.50771
[LightGBM] [Info] Iteration:62, valid_1 ndcg@3 : 0.491358
[LightGBM] [Info] Iteration:62, valid_1 ndcg@5 : 0.495788
[LightGBM] [Info] Iteration:62, valid_1 ndcg@10 : 0.514257
[LightGBM] [Info] 24.818327 seconds elapsed, finished iteration 62
[LightGBM] [Info] Iteration:63, valid_1 ndcg@1 : 0.508166
[LightGBM] [Info] Iteration:63, valid_1 ndcg@3 : 0.491112
[LightGBM] [Info] Iteration:63, valid_1 ndcg@5 : 0.496282
[LightGBM] [Info] Iteration:63, valid_1 ndcg@10 : 0.514372
[LightGBM] [Info] 25.207876 seconds elapsed, finished iteration 63
[LightGBM] [Info] Iteration:64, valid_1 ndcg@1 : 0.50811
[LightGBM] [Info] Iteration:64, valid_1 ndcg@3 : 0.491761
[LightGBM] [Info] Iteration:64, valid_1 ndcg@5 : 0.49658
[LightGBM] [Info] Iteration:64, valid_1 ndcg@10 : 0.51459
[LightGBM] [Info] 25.624717 seconds elapsed, finished iteration 64
[LightGBM] [Info] Iteration:65, valid_1 ndcg@1 : 0.508388
[LightGBM] [Info] Iteration:65, valid_1 ndcg@3 : 0.492187
[LightGBM] [Info] Iteration:65, valid_1 ndcg@5 : 0.496659
[LightGBM] [Info] Iteration:65, valid_1 ndcg@10 : 0.514882
[LightGBM] [Info] 26.024733 seconds elapsed, finished iteration 65
[LightGBM] [Info] Iteration:66, valid_1 ndcg@1 : 0.508257
[LightGBM] [Info] Iteration:66, valid_1 ndcg@3 : 0.492055
[LightGBM] [Info] Iteration:66, valid_1 ndcg@5 : 0.496661
[LightGBM] [Info] Iteration:66, valid_1 ndcg@10 : 0.514929
[LightGBM] [Info] 26.424386 seconds elapsed, finished iteration 66
